source_file,source_row,source_employee_id,normalized_employee_id,source_location,database_record_id,database_employee_number,current_database_location,match_status,location_change_required,name_match,designation_match,team_match,review_note
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,3,DWLS,DWLS,Jaffna,149667ee-762f-4f0e-8944-a001199c0544,DWLS,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,4,DWL004,DWL004,Jaffna,13426bca-6495-4858-afd5-e58a0702d74d,DWL004,Jaffna,MATCHED,NO,NO,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,5,DWL009,DWL009,Jaffna,1a2eb461-48aa-4d8b-a00c-28c96cb93d23,DWL009,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,6,DWL010,DWL010,Jaffna,126a515f-358d-4d3d-9eb3-64ccdb300e75,DWL010,Nelliyadi,MATCHED,YES,YES,YES,YES,"Location differs: DB has 'Nelliyadi', source says 'Jaffna'."
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,7,DWL013,DWL013,Jaffna,9d08abe5-6f35-4893-9503-12848e6805d8,DWL013,Jaffna,MATCHED,NO,YES,YES,NO,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,8,DWL015,DWL015,Jaffna,705a7e08-b7d9-46cf-b552-b61fd6d248da,DWL015,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,9,DWL016,DWL016,Jaffna,fbf202ee-f402-42b1-afe4-3e11b695a85b,DWL016,Nelliyadi,MATCHED,YES,YES,YES,NO,"Location differs: DB has 'Nelliyadi', source says 'Jaffna'."
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,10,DWL033,DWL033,Jaffna,0a5df7e8-7cd9-41cc-8c15-e55b2d3a1061,DWL033,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,11,DWL035,DWL035,Jaffna,3231a005-1f58-496f-98ef-149009d8e4e3,DWL035,Jaffna,MATCHED,NO,YES,YES,NO,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,12,DWL036,DWL036,Jaffna,78534a54-ed3f-4dd0-8fa8-d95520532c0e,DWL036,Jaffna,MATCHED,NO,YES,YES,NO,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,13,DWL039,DWL039,Jaffna,2a18ab9a-3749-462b-896c-078f1949881a,DWL039,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,14,DWL045,DWL045,Jaffna,303096fd-a519-4070-bb4f-7b7273ac2c0c,DWL045,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,15,DWL046,DWL046,Jaffna,e3e69f46-e651-4c70-877f-fcdef3c174be,DWL046,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,16,DWL058,DWL058,Jaffna,ec53be5f-a198-4c56-895d-008f06a8c3c1,DWL058,Jaffna,MATCHED,NO,YES,YES,NO,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,17,DWL061,DWL061,Jaffna,23f76e5d-c9d9-4367-b6e7-92b64d7bcdb2,DWL061,Jaffna,MATCHED,NO,YES,YES,NO,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,18,DWL064,DWL064,Jaffna,58192743-40f8-4fec-b9d7-d3c5c44e9046,DWL064,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,19,DWL065,DWL065,Jaffna,b28812a7-1c4b-41af-bbe7-861a3cebd7e9,DWL065,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,20,DWL067,DWL067,Jaffna,3f7a8e58-1bdc-4de7-98ce-6bb995ef2eb2,DWL067,Jaffna,MATCHED,NO,YES,YES,NO,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,21,DWL078,DWL078,Jaffna,db64467f-0bef-446a-bc0f-71835fe528a7,DWL078,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,22,DWL079,DWL079,Jaffna,b7f8e6a6-ea9e-4bc6-a600-2c2cb1f90bd0,DWL079,Jaffna,MATCHED,NO,YES,YES,NO,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,23,DWL082,DWL082,Jaffna,bd3e8409-d9e0-48d3-93bd-75df9b91cf46,DWL082,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,24,DWL083,DWL083,Jaffna,7bb9d050-5a78-4934-9243-21ff9ba4a595,DWL083,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,25,DWL084,DWL084,Jaffna,6e8a32d3-f9d4-4868-8c1c-83371719115d,DWL084,Jaffna,MATCHED,NO,YES,YES,NO,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,26,DWL089,DWL089,Jaffna,956fa12a-e71c-461a-8448-358e8d5bd6ab,DWL089,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,27,DWL094,DWL094,Jaffna,308e6e44-a77c-4e3c-abe7-f9b4607d6010,DWL094,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,28,DWL096,DWL096,Jaffna,60ebe3bd-ee05-4cf0-95cc-5d6835af56c8,DWL096,Jaffna,MATCHED,NO,YES,YES,NO,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,29,DWL097,DWL097,Jaffna,7d3c265c-4b09-4473-8198-3f027bb474ed,DWL097,Jaffna,MATCHED,NO,YES,YES,NO,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,30,DWL100,DWL100,Jaffna,5d43a3e8-7b86-4782-82a7-cd5b440ab0e7,DWL100,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,31,DWL106,DWL106,Jaffna,a3abf402-2641-4b03-a999-c11a4f88b5e0,DWL106,Jaffna,MATCHED,NO,YES,YES,NO,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,32,DWL108,DWL108,Jaffna,15708159-4dc6-4e7c-8795-cb22c4720748,DWL108,Jaffna,MATCHED,NO,YES,YES,YES,
Personal Target - HRD - 2.2 Jaffna branch Staffs.csv,33,DWL113,DWL113,Jaffna,e705167b-0a9f-4024-a351-232e35d8193f,DWL113,Jaffna,MATCHED,NO,YES,YES,NO,
